Name                                                                                                                             Owner                                                                                                                            Object_type
CHK_discount                                                                                                                     dbo                                                                                                                              check cns
CHK_Products_unitprice                                                                                                           dbo                                                                                                                              check cns
CHK_qty                                                                                                                          dbo                                                                                                                              check cns
CHK_Scores_score                                                                                                                 dbo                                                                                                                              check cns
CHK_unitprice                                                                                                                    dbo                                                                                                                              check cns
CHECK_CONSTRAINTS                                                                                                                INFORMATION_SCHEMA                                                                                                               view
COLUMN_DOMAIN_USAGE                                                                                                              INFORMATION_SCHEMA                                                                                                               view
COLUMN_PRIVILEGES                                                                                                                INFORMATION_SCHEMA                                                                                                               view
COLUMNS                                                                                                                          INFORMATION_SCHEMA                                                                                                               view
CONSTRAINT_COLUMN_USAGE                                                                                                          INFORMATION_SCHEMA                                                                                                               view
CONSTRAINT_TABLE_USAGE                                                                                                           INFORMATION_SCHEMA                                                                                                               view
DOMAIN_CONSTRAINTS                                                                                                               INFORMATION_SCHEMA                                                                                                               view
DOMAINS                                                                                                                          INFORMATION_SCHEMA                                                                                                               view
KEY_COLUMN_USAGE                                                                                                                 INFORMATION_SCHEMA                                                                                                               view
PARAMETERS                                                                                                                       INFORMATION_SCHEMA                                                                                                               view
REFERENTIAL_CONSTRAINTS                                                                                                          INFORMATION_SCHEMA                                                                                                               view
ROUTINE_COLUMNS                                                                                                                  INFORMATION_SCHEMA                                                                                                               view
ROUTINES                                                                                                                         INFORMATION_SCHEMA                                                                                                               view
SCHEMATA                                                                                                                         INFORMATION_SCHEMA                                                                                                               view
SEQUENCES                                                                                                                        INFORMATION_SCHEMA                                                                                                               view
TABLE_CONSTRAINTS                                                                                                                INFORMATION_SCHEMA                                                                                                               view
TABLE_PRIVILEGES                                                                                                                 INFORMATION_SCHEMA                                                                                                               view
TABLES                                                                                                                           INFORMATION_SCHEMA                                                                                                               view
VIEW_COLUMN_USAGE                                                                                                                INFORMATION_SCHEMA                                                                                                               view
VIEW_TABLE_USAGE                                                                                                                 INFORMATION_SCHEMA                                                                                                               view
VIEWS                                                                                                                            INFORMATION_SCHEMA                                                                                                               view
all_columns                                                                                                                      sys                                                                                                                              view
all_objects                                                                                                                      sys                                                                                                                              view
all_parameters                                                                                                                   sys                                                                                                                              view
all_sql_modules                                                                                                                  sys                                                                                                                              view
all_views                                                                                                                        sys                                                                                                                              view
allocation_units                                                                                                                 sys                                                                                                                              view
assemblies                                                                                                                       sys                                                                                                                              view
assembly_files                                                                                                                   sys                                                                                                                              view
assembly_modules                                                                                                                 sys                                                                                                                              view
assembly_references                                                                                                              sys                                                                                                                              view
assembly_types                                                                                                                   sys                                                                                                                              view
asymmetric_keys                                                                                                                  sys                                                                                                                              view
availability_group_listener_ip_addresses                                                                                         sys                                                                                                                              view
availability_group_listeners                                                                                                     sys                                                                                                                              view
availability_groups                                                                                                              sys                                                                                                                              view
availability_read_only_routing_lists                                                                                             sys                                                                                                                              view
availability_replicas                                                                                                            sys                                                                                                                              view
backup_devices                                                                                                                   sys                                                                                                                              view
certificates                                                                                                                     sys                                                                                                                              view
change_tracking_databases                                                                                                        sys                                                                                                                              view
change_tracking_tables                                                                                                           sys                                                                                                                              view
check_constraints                                                                                                                sys                                                                                                                              view
column_store_dictionaries                                                                                                        sys                                                                                                                              view
column_store_index_stats                                                                                                         sys                                                                                                                              view
column_store_segments                                                                                                            sys                                                                                                                              view
column_type_usages                                                                                                               sys                                                                                                                              view
column_xml_schema_collection_usages                                                                                              sys                                                                                                                              view
columns                                                                                                                          sys                                                                                                                              view
computed_columns                                                                                                                 sys                                                                                                                              view
configurations                                                                                                                   sys                                                                                                                              view
conversation_endpoints                                                                                                           sys                                                                                                                              view
conversation_groups                                                                                                              sys                                                                                                                              view
conversation_priorities                                                                                                          sys                                                                                                                              view
credentials                                                                                                                      sys                                                                                                                              view
crypt_properties                                                                                                                 sys                                                                                                                              view
cryptographic_providers                                                                                                          sys                                                                                                                              view
data_spaces                                                                                                                      sys                                                                                                                              view
database_audit_specification_details                                                                                             sys                                                                                                                              view
database_audit_specifications                                                                                                    sys                                                                                                                              view
database_files                                                                                                                   sys                                                                                                                              view
database_filestream_options                                                                                                      sys                                                                                                                              view
database_mirroring                                                                                                               sys                                                                                                                              view
database_mirroring_endpoints                                                                                                     sys                                                                                                                              view
database_mirroring_witnesses                                                                                                     sys                                                                                                                              view
database_permissions                                                                                                             sys                                                                                                                              view
database_principals                                                                                                              sys                                                                                                                              view
database_recovery_status                                                                                                         sys                                                                                                                              view
database_role_members                                                                                                            sys                                                                                                                              view
databases                                                                                                                        sys                                                                                                                              view
default_constraints                                                                                                              sys                                                                                                                              view
destination_data_spaces                                                                                                          sys                                                                                                                              view
dm_audit_actions                                                                                                                 sys                                                                                                                              view
dm_audit_class_type_map                                                                                                          sys                                                                                                                              view
dm_broker_activated_tasks                                                                                                        sys                                                                                                                              view
dm_broker_connections                                                                                                            sys                                                                                                                              view
dm_broker_forwarded_messages                                                                                                     sys                                                                                                                              view
dm_broker_queue_monitors                                                                                                         sys                                                                                                                              view
dm_cdc_errors                                                                                                                    sys                                                                                                                              view
dm_cdc_log_scan_sessions                                                                                                         sys                                                                                                                              view
dm_clr_appdomains                                                                                                                sys                                                                                                                              view
dm_clr_loaded_assemblies                                                                                                         sys                                                                                                                              view
dm_clr_properties                                                                                                                sys                                                                                                                              view
dm_clr_tasks                                                                                                                     sys                                                                                                                              view
dm_cryptographic_provider_properties                                                                                             sys                                                                                                                              view
dm_database_encryption_keys                                                                                                      sys                                                                                                                              view
dm_db_file_space_usage                                                                                                           sys                                                                                                                              view
dm_db_fts_index_physical_stats                                                                                                   sys                                                                                                                              view
dm_db_index_usage_stats                                                                                                          sys                                                                                                                              view
dm_db_log_space_usage                                                                                                            sys                                                                                                                              view
dm_db_mirroring_auto_page_repair                                                                                                 sys                                                                                                                              view
dm_db_mirroring_connections                                                                                                      sys                                                                                                                              view
dm_db_mirroring_past_actions                                                                                                     sys                                                                                                                              view
dm_db_missing_index_details                                                                                                      sys                                                                                                                              view
dm_db_missing_index_group_stats                                                                                                  sys                                                                                                                              view
dm_db_missing_index_groups                                                                                                       sys                                                                                                                              view
dm_db_partition_stats                                                                                                            sys                                                                                                                              view
dm_db_persisted_sku_features                                                                                                     sys                                                                                                                              view
dm_db_script_level                                                                                                               sys                                                                                                                              view
dm_db_session_space_usage                                                                                                        sys                                                                                                                              view
dm_db_task_space_usage                                                                                                           sys                                                                                                                              view
dm_db_uncontained_entities                                                                                                       sys                                                                                                                              view
dm_exec_background_job_queue                                                                                                     sys                                                                                                                              view
dm_exec_background_job_queue_stats                                                                                               sys                                                                                                                              view
dm_exec_cached_plans                                                                                                             sys                                                                                                                              view
dm_exec_connections                                                                                                              sys                                                                                                                              view
dm_exec_procedure_stats                                                                                                          sys                                                                                                                              view
dm_exec_query_memory_grants                                                                                                      sys                                                                                                                              view
dm_exec_query_optimizer_info                                                                                                     sys                                                                                                                              view
dm_exec_query_resource_semaphores                                                                                                sys                                                                                                                              view
dm_exec_query_stats                                                                                                              sys                                                                                                                              view
dm_exec_query_transformation_stats                                                                                               sys                                                                                                                              view
dm_exec_requests                                                                                                                 sys                                                                                                                              view
