custid      orderid     orderdate
----------- ----------- -----------------------
33          10268       2006-07-30 00:00:00.000
89          10269       2006-07-31 00:00:00.000
87          10270       2006-08-01 00:00:00.000
75          10271       2006-08-01 00:00:00.000
65          10272       2006-08-02 00:00:00.000
63          10273       2006-08-05 00:00:00.000
85          10274       2006-08-06 00:00:00.000
49          10275       2006-08-07 00:00:00.000
80          10276       2006-08-08 00:00:00.000
52          10277       2006-08-09 00:00:00.000
5           10278       2006-08-12 00:00:00.000
44          10279       2006-08-13 00:00:00.000
5           10280       2006-08-14 00:00:00.000
69          10281       2006-08-14 00:00:00.000
69          10282       2006-08-15 00:00:00.000
46          10283       2006-08-16 00:00:00.000
44          10284       2006-08-19 00:00:00.000
63          10285       2006-08-20 00:00:00.000
63          10286       2006-08-21 00:00:00.000
67          10287       2006-08-22 00:00:00.000

(20 row(s) affected)

